OBJECTID,STATE_ABBR,STATE_FIPS,STATE_NAME,StateFIPSN,State,AllAge_B_AA_Rate,AllAge_B_Lower_CI,AllAge_B_Upper_CI,AllAge_B_Average_Count,AllAge_B_Recent_Trend,AllAge_B_Recent_5yr_Trend,AllAge_B_Lower_Trend_CI,AllAge_B_Upper_Trend_CI,AllAge_M_AA_Rate,AllAge_M_Lower_CI,AllAge_M_Upper_CI,AllAge_M_Average_Count,AllAge_M_Recent_Trend,AllAge_M_Recent_5yr_Trend,AllAge_M_Lower_Trend_CI,AllAge_M_Upper_Trend_CI,AllAge_F_AA_Rate,AllAge_F_Lower_CI,AllAge_F_Upper_CI,AllAge_F_Average_Count,AllAge_F_Recent_Trend,AllAge_F_Recent_5yr_Trend,AllAge_F_Lower_Trend_CI,AllAge_F_Upper_Trend_CI,Under50_B_AA_Rate,Under50_B_Lower_CI,Under50_B_Upper_CI,Under50_B_Average_Count,Under50_B_Recent_Trend,Under50_B_Recent_5yr_Trend,Under50_B_Lower_Trend_CI,Under50_B_Upper_Trend_CI,Under50_M_AA_Rate,Under50_M_Lower_CI,Under50_M_Upper_CI,Under50_M_Average_Count,Under50_M_Recent_Trend,Under50_M_Recent_5yr_Trend,Under50_M_Lower_Trend_CI,Under50_M_Upper_Trend_CI,Under50_F_AA_Rate,Under50_F_Lower_CI,Under50_F_Upper_CI,Under50_F_Average_Count,Under50_F_Recent_Trend,Under50_F_Recent_5yr_Trend,Under50_F_Lower_Trend_CI,Under50_F_Upper_Trend_CI,Age50over_B_AA_Rate,Age50over_B_Lower_CI,Age50over_B_Upper_CI,Age50over_B_Average_Count,Age50over_B_Recent_Trend,Age50over_B_Recent_5yr_Trend,Age50over_B_Lower_Trend_CI,Age50over_B_Upper_Trend_CI,Age50over_M_AA_Rate,Age50over_M_Lower_CI,Age50over_M_Upper_CI,Age50over_M_Average_Count,Age50over_M_Recent_Trend,Age50over_M_Recent_5yr_Trend,Age50over_M_Lower_Trend_CI,Age50over_M_Upper_Trend_CI,Age50over_F_AA_Rate,Age50over_F_Lower_CI,Age50over_F_Upper_CI,Age50over_F_Average_Count,Age50over_F_Recent_Trend,Age50over_F_Recent_5yr_Trend,Age50over_F_Lower_Trend_CI,Age50over_F_Upper_Trend_CI,Under65_B_AA_Rate,Under65_B_Lower_CI,Under65_B_Upper_CI,Under65_B_Average_Count,Under65_B_Recent_Trend,Under65_B_Recent_5yr_Trend,Under65_B_Lower_Trend_CI,Under65_B_Upper_Trend_CI,Under65_M_AA_Rate,Under65_M_Lower_CI,Under65_M_Upper_CI,Under65_M_Average_Count,Under65_M_Recent_Trend,Under65_M_Recent_5yr_Trend,Under65_M_Lower_Trend_CI,Under65_M_Upper_Trend_CI,Under65_F_AA_Rate,Under65_F_Lower_CI,Under65_F_Upper_CI,Under65_F_Average_Count,Under65_F_Recent_Trend,Under65_F_Recent_5yr_Trend,Under65_F_Lower_Trend_CI,Under65_F_Upper_Trend_CI,Age65over_B_AA_Rate,Age65over_B_Lower_CI,Age65over_B_Upper_CI,Age65over_B_Average_Count,Age65over_B_Recent_Trend,Age65over_B_Recent_5yr_Trend,Age65over_B_Lower_Trend_CI,Age65over_B_Upper_Trend_CI,Age65over_M_AA_Rate,Age65over_M_Lower_CI,Age65over_M_Upper_CI,Age65over_M_Average_Count,Age65over_M_Recent_Trend,Age65over_M_Recent_5yr_Trend,Age65over_M_Lower_Trend_CI,Age65over_M_Upper_Trend_CI,Age65over_F_AA_Rate,Age65over_F_Lower_CI,Age65over_F_Upper_CI,Age65over_F_Average_Count,Age65over_F_Recent_Trend,Age65over_F_Recent_5yr_Trend,Age65over_F_Lower_Trend_CI,Age65over_F_Upper_Trend_CI,Shape__Area,Shape__Length
1,AL,01,Alabama,1,"Alabama(6,8)",60.11,59.25,60.97,3904.4,falling,-2.23,-2.61,-1.94,75.81,74.37,77.28,2201.2,falling,-3.05,-3.68,-2.64,47.89,46.86,48.94,1703.2,falling,-1.3,-2.93,-0.82,3.71,3.4,4.03,107.2,falling,-6.06,-11.69,-5,3.8,3.36,4.29,53,falling,-7.09,-9.75,-6.06,3.62,3.2,4.08,54.2,falling,-3.9,-5.87,-2.21,207.98,204.99,211,3797.2,falling,-1.99,-2.43,-1.67,264.58,259.47,269.76,2148.2,falling,-2.97,-3.86,-2.46,163.99,160.43,167.6,1649,falling,-1.04,-1.91,-0.63,22.67,22.11,23.24,1316.2,falling,-2,-2.29,-1.71,26.59,25.71,27.48,744.6,falling,-2.61,-3.06,-2.17,19.1,18.38,19.85,571.6,falling,-1.11,-1.73,-0.48,318.87,313.35,324.48,2588.2,falling,-2.23,-2.6,-1.92,416.1,406.38,426,1456.6,falling,-3.2,-4,-2.68,246.85,240.41,253.41,1131.6,falling,-1.44,-2.52,-0.83,189880804279.291,3287525.50147372
2,AK,02,Alaska,2,"Alaska(6,8)",52.59,50.09,55.18,376.4,falling,-2.96,-3.74,-2.6,57.01,53.2,61.01,199.2,falling,-3.09,-3.66,-2.47,48.92,45.6,52.42,177.2,falling,-2.17,-3.31,-0.92,2.35,1.74,3.09,10,falling,-9,-9,-9,1.97,1.23,2.97,4.4,falling,-9,-9,-9,2.77,1.83,3.99,5.6,falling,-9,-9,-9,184.26,175.36,193.49,366.4,falling,-2.82,-5.27,-2.29,201.24,187.61,215.57,194.8,falling,-2.97,-3.56,-2.33,169.92,158.18,182.29,171.6,falling,-2.07,-3.33,-0.7,14.71,13.54,15.95,124.4,falling,-2.89,-3.77,-1.99,13.85,12.31,15.55,61.4,falling,-3.67,-4.79,-2.57,15.64,13.9,17.54,63,falling,-1.85,-3.23,-0.38,314.45,296.45,333.26,252,falling,-3.03,-5.86,-2.4,355.35,327.3,385.18,137.8,falling,-2.91,-3.5,-2.25,278.98,255.75,303.76,114.2,falling,-2.4,-3.94,-0.69,8202565287862.59,80993965.6622446
3,AZ,04,Arizona,4,"Arizona(6,8)",41.63,41.05,42.22,3977.8,falling,-3.56,-5.07,-2.73,45.09,44.21,46,2006.6,falling,-4.13,-6.99,-2.99,38.74,37.97,39.53,1971.2,falling,-2.4,-3.76,-1.84,1.89,1.7,2.08,78.2,falling,-5.16,-6.04,-4.38,1.72,1.47,1.99,35.4,falling,-6.45,-8.06,-5.12,2.06,1.79,2.35,42.8,falling,-5.8,-14.07,-4.18,145.78,143.73,147.86,3899.4,falling,-3.52,-4.95,-2.67,158.74,155.6,161.94,1971,falling,-4.14,-6.95,-2.95,134.91,132.21,137.66,1928.4,falling,-2.25,-3.27,-1.74,11.31,10.97,11.66,891.8,falling,-3.53,-3.99,-3.07,11.47,10.99,11.98,439,falling,-4.17,-4.84,-3.52,11.19,10.72,11.68,452.8,falling,-2.83,-3.46,-2.18,251.21,247.24,255.23,3086,falling,-3.14,-4.05,-2.53,277.49,271.33,283.75,1567.6,falling,-4.2,-6.98,-2.93,229.19,224.03,234.44,1518.4,falling,-2.32,-3.35,-1.66,434065931287.855,2904324.90944456
4,AR,05,Arkansas,5,"Arkansas(6,8)",71.32,70.13,72.52,2824.2,falling,-0.66,-1.07,-0.22,86.54,84.6,88.52,1563.6,falling,-1.54,-1.89,-1.17,59.28,57.8,60.79,1260.6,stable,0.38,-0.08,0.87,4.45,4.02,4.92,77.2,falling,-4.13,-5.85,-2.7,3.93,3.36,4.57,33.8,falling,-6.17,-8.53,-4.32,4.96,4.32,5.66,43.4,stable,-1.94,-4.21,0.11,246.63,242.48,250.84,2747,falling,-0.45,-0.86,-0.02,303.07,296.2,310.05,1529.8,falling,-1.32,-1.77,-0.84,201.78,196.69,206.97,1217.2,rising,0.55,0.15,0.99,25.77,24.99,26.57,881.6,falling,-1.56,-2.04,-1.08,28.12,26.97,29.31,473.4,falling,-2.38,-2.96,-1.8,23.61,22.56,24.7,408.2,stable,1.05,-0.88,4.79,386.17,378.47,393.99,1942.6,falling,-1.38,-2.85,-0.28,490.38,477.25,503.78,1090.2,falling,-1.18,-1.58,-0.74,305.83,296.66,315.21,852.4,stable,-0.67,-3.01,0.88,205401460434.09,2675352.42128439
5,CA,06,California,6,"California(7,8)",37.57,37.31,37.83,16658.4,falling,-2.49,-2.9,-1.82,41.76,41.35,42.17,8314,falling,-2.96,-3.8,-1.69,34.4,34.07,34.74,8344.4,falling,-2.29,-2.76,-2.08,1.8,1.73,1.88,449.4,stable,-0.3,-3.88,2.03,1.63,1.53,1.73,204,stable,-0.36,-4.72,2.15,1.98,1.87,2.09,245.4,falling,-3.3,-4.02,-2.67,131.23,130.31,132.15,16209,falling,-2.51,-2.94,-1.84,146.86,145.4,148.32,8110,falling,-2.98,-3.78,-1.76,119.3,118.13,120.48,8099,falling,-2.3,-2.89,-2.04,9.47,9.34,9.6,4100.4,falling,-2.66,-3.28,-1.46,9.62,9.43,9.81,2055.8,falling,-3.2,-4.67,-1.14,9.35,9.16,9.54,2044.6,falling,-2.07,-2.9,-0.23,231.79,229.96,233.63,12558,falling,-2.72,-3.06,-2.46,263.94,260.98,266.93,6258.2,falling,-3.3,-3.9,-2.96,207.56,205.25,209.89,6299.8,falling,-2.45,-2.86,-2.12,649190095223.754,7813037.97264953
6,CO,08,Colorado,8,"Colorado(6,8)",38.32,37.62,39.03,2417.4,falling,-2.65,-3.48,-1.53,40.01,38.94,41.09,1155.2,falling,-3.48,-4.16,-3.11,37.24,36.31,38.19,1262.2,falling,-1.82,-3.34,-1.44,1.88,1.68,2.09,67.2,falling,-3.25,-4.96,-1.7,1.59,1.35,1.87,29.6,falling,-4.25,-5.83,-2.86,2.17,1.87,2.51,37.6,falling,-2.32,-4.18,-0.58,133.83,131.36,136.33,2350,falling,-2.59,-4.15,-1.23,140.68,136.89,144.55,1125.6,falling,-3.44,-4.1,-3.06,129.15,125.87,132.49,1224.4,falling,-1.42,-1.7,-1.12,9.88,9.53,10.24,637,falling,-2.65,-3.06,-2.23,9.28,8.8,9.77,297.4,falling,-3.23,-3.96,-2.5,10.49,9.98,11.02,339.6,falling,-2.05,-2.69,-1.39,234.89,229.93,239.92,1780.4,falling,-2.59,-3.12,-2.11,252.43,244.69,260.34,857.8,falling,-3.02,-3.37,-2.65,222.16,215.69,228.77,922.6,falling,-2.18,-4.41,-1.37,447314026441.762,2707521.4009179
7,CT,09,Connecticut,9,"Connecticut(7,8)",55.17,54.22,56.13,2672,falling,-1.6,-2.1,-1.28,58.95,57.48,60.45,1269.6,falling,-2.12,-2.97,-1.84,52.62,51.37,53.89,1402.4,falling,-1.05,-1.68,-0.64,2.69,2.39,3.02,58.6,falling,-4.38,-10.01,-3.5,2.39,2,2.85,25.6,falling,-3.43,-4.29,-2.72,2.97,2.53,3.46,33,falling,-3.13,-3.76,-2.59,192.6,189.26,195.98,2613.4,falling,-1.48,-2.02,-1.14,207.05,201.84,212.37,1244,falling,-2.04,-3.05,-1.75,182.62,178.26,187.06,1369.4,falling,-0.88,-1.59,-0.43,16.05,15.51,16.59,729.8,falling,-2.35,-2.54,-2.17,15.77,15.02,16.55,351.6,falling,-3.08,-5.31,-2.81,16.31,15.56,17.1,378.2,falling,-1.86,-2.15,-1.56,325.61,319.09,332.23,1942.2,falling,-1.45,-2.02,-1.03,357.44,347.03,368.08,918,falling,-2.21,-3.86,-1.6,303.57,295.19,312.13,1024.2,falling,-0.94,-1.85,-0.29,22983470669.9453,2065475.20587206
8,DE,10,Delaware,10,"Delaware(6,8)",56.96,55.16,58.81,792.6,falling,-5.82,-9.38,-2.33,62.43,59.62,65.35,390.2,falling,-2.66,-3.44,-1.84,52.68,50.35,55.09,402.4,falling,-5.73,-10.33,-1.32,3.48,2.81,4.26,18.8,falling,-3.35,-5.85,-1.12,4.15,3.11,5.42,10.8,stable,-2.7,-5.99,0.23,2.84,2.03,3.88,8,falling,-20.85,-43.92,-2.47,197.18,190.93,203.59,773.8,falling,-5.2,-10.31,-0.71,215.23,205.47,225.35,379.4,falling,-6.89,-12.47,-2.02,183.31,175.2,191.7,394.4,stable,-1.93,-8.08,0.71,18.44,17.32,19.62,220,falling,-3.14,-3.8,-2.47,19.03,17.38,20.82,105.6,falling,-3.5,-4.86,-2.19,17.88,16.39,19.5,114.4,falling,-2.79,-4.46,-1.12,323.26,311.37,335.48,572.6,falling,-5.47,-10.46,-0.91,362.39,343.45,382.12,284.6,falling,-8.01,-12.16,-3.05,293.19,278.09,308.91,288,falling,-1.7,-3.23,-1.06,8452721807.82813,1539682.1544004
9,DC,11,District of Columbia,11,"District of Columbia(6,8)",42.81,40.62,45.1,295.2,stable,0.35,-2.37,3.14,47.76,44.2,51.53,140.2,stable,3.34,-0.03,6.8,39.42,36.64,42.35,155,falling,-3.48,-9.32,-1.36,2.43,1.79,3.21,10,falling,-9,-9,-9,2.73,1.81,3.95,5.6,falling,-9,-9,-9,2.13,1.32,3.25,4.4,falling,-9,-9,-9,148.69,140.95,156.74,285.2,stable,0.67,-5.44,5.95,165.82,153.21,179.18,134.6,stable,3.12,-0.78,7.24,137.15,127.39,147.47,150.6,falling,-2.7,-8.55,-0.42,15.26,13.93,16.68,100,falling,-5.85,-11.96,-3.67,15.59,13.68,17.72,48.6,falling,-5.05,-6.11,-4.06,14.92,13.11,16.91,51.4,falling,-1.92,-3.45,-0.4,233.3,218.67,248.64,195.2,stable,2.91,-0.01,6.13,270.12,245.5,296.54,91.6,rising,5.36,2.46,8.5,208.76,190.89,227.83,103.6,stable,-0.7,-1.62,0.28,264381583.878906,135566.315432233
10,FL,12,Florida,12,"Florida(6,8)",54.4,54.04,54.77,17676.6,falling,-2.2,-2.93,-2.03,61.17,60.6,61.74,9133,falling,-2.86,-3.78,-2.66,48.85,48.38,49.33,8543.6,falling,-1.54,-2.64,-1.29,3.19,3.05,3.34,397.8,falling,-5.89,-7.85,-5.47,3.13,2.93,3.33,193,falling,-4.16,-5.93,-0.54,3.26,3.06,3.46,204.8,falling,-5.66,-9.01,-4.92,188.66,187.39,189.93,17278.6,falling,-2.04,-2.55,-1.87,213.3,211.31,215.3,8939.8,falling,-2.74,-3.79,-2.5,168.42,166.79,170.06,8338.8,falling,-1.29,-2.39,-1.02,18.66,18.42,18.91,4737.8,falling,-2.73,-2.98,-2.47,19.74,19.38,20.11,2411.2,falling,-3.38,-3.62,-3.13,17.7,17.37,18.04,2326.6,falling,-1.96,-2.27,-1.63,301.48,299.15,303.82,12938.8,falling,-1.37,-2.12,-0.83,347.52,343.8,351.27,6721.8,falling,-2.58,-3.44,-2.34,264.16,261.22,267.13,6217,stable,-0.56,-1.59,0.29,190771528482.09,25999259.5169228
